LOYALTY,Satis,VALUE,Reputa,Pricey,ATRUST,CTRUST,age,sex,educ,Loca,caseid
5.75,1,7,7,5,10,10,3,2,2,1,121
5.45833333333333,9,7.33333333333333,5,6,9,8,5,2,1,1,123
6,10,9.66666666666667,2.25,9.33333333333333,10,10,1,2,4,1,125
5.75,10,7.83333333333333,4.5,6.66666666666667,10,10,3,2,2,1,128
3.58333333333333,8,5,3,8,4,7,2,2,3,1,129
5.125,1,8,5.5,8,7.5,5,3,2,2,1,135
7,10,10,3.5,8,10,10,3,2,3,1,140
2,3.66666666666667,3,1.25,4.33333333333333,4,1.75,4,2,3,1,141
5.125,8,9,4.5,7.33333333333333,9,9,3,2,3,1,143
4.91666666666667,2.33333333333333,9.83333333333333,6,6.66666666666667,4.25,10,3,2,3,1,148
6.25,10,9,6,5,10,10,5,2,1,1,150
1.875,5,4.83333333333333,2.75,4,5,5.25,3,2,4,1,153
6.16666666666667,8,9.5,6.5,8,10,9.75,4,2,2,1,155
6.29166666666667,8.66666666666667,10,5.25,5.33333333333333,9.25,9,3,2,1,1,156
5.70833333333333,8,8.83333333333333,4.25,8,8,8.25,1,2,1,1,157
1,1,1,2.5,1,1,1,3,2,1,1,162
7,10,10,2,10,10,10,5,2,1,1,167
3.625,3.33333333333333,3.83333333333333,4.25,5.33333333333333,4,4,3,2,3,1,168
4.25,8,6.33333333333333,4,5,10,8,3,2,3,1,170
3.25,5.66666666666667,4.83333333333333,3.75,5.66666666666667,4.25,5,2,2,3,1,171
4.58333333333333,6.66666666666667,5,4,5,5,5,3,2,3,1,176
5.58333333333333,9,7,6,6.33333333333333,7,3,2,2,3,1,178
3.79166666666667,8,3.5,4.25,6.66666666666667,7,6.5,2,2,3,1,179
3.33333333333333,5.66666666666667,5,3.5,5,3.5,4,2,2,3,1,183
4.25,6.66666666666667,4.66666666666667,4,6.33333333333333,5,5.33333333333333,3,2,2,1,189
6.25,10,9.16666666666667,4,7.66666666666667,10,10,2,2,3,1,190
3.95833333333333,4,4.16666666666667,4,4.66666666666667,7,6.75,3,2,4,1,191
6.33333333333333,10,10,1,10,10,10,3,2,3,1,192
5.54166666666667,8,8,5.75,8,9,9,3,2,2,1,193
7,9.33333333333333,8.5,4.5,7.33333333333333,9,7.25,2,2,4,1,194
6.08333333333333,9,9.16666666666667,5.5,8,9.5,9,3,2,2,1,198
5.08333333333333,10,9,5,9,9.5,8.25,4,2,1,1,205
6.375,4,10,7,10,10,10,4,2,1,1,207
6.125,9.33333333333333,9.5,4.5,6,9.25,9.5,4,2,3,1,209
5.58333333333333,8,8,4,7,8,7,3,2,1,1,211
6.375,4.33333333333333,9,4.25,7.33333333333333,8,8,2,2,2,1,213
1,1,3,3.75,4,2.5,2.25,2,2,2,1,216
4,5,4,4.5,5.66666666666667,5,5,2,2,3,1,217
4.66666666666667,5,6.83333333333333,4.75,6.33333333333333,3,8,1,2,2,1,222
3.75,8,6.83333333333333,4.25,5,6.5,6.25,4,2,2,1,223
5.5,10,8.5,4,7,10,10,3,2,1,1,230
2.375,1,4,4.75,3,4,4,4,2,3,1,234
5.625,10,8,6,9,9.5,9.25,5,2,1,1,235
4.875,8.66666666666667,7.16666666666667,4.5,6.66666666666667,8.5,7,3,2,4,1,242
4.08333333333333,9,5,4.5,7,5,4,3,2,2,1,247
4.875,8.66666666666667,7.66666666666667,3.25,6.33333333333333,8,7.75,3,2,4,1,248
5.75,10,7,4,9,10,10,5,2,1,1,251
5.875,8,7.5,7,6,8,8,3,2,2,1,252
6,10,8.5,5,7,9,9,4,2,3,1,253
6.75,9,9,5.75,7,9,9,3,2,2,1,256
6.25,10,8.91666666666667,4,8,10,10,4,2,1,1,257
3.33333333333333,9.33333333333333,5.66666666666667,4.75,5.66666666666667,8.75,3.75,3,2,1,1,259
3.375,8,6,4,7.66666666666667,3,3,4,2,4,1,260
5.70833333333333,6.66666666666667,8.16666666666667,4.75,7.33333333333333,8.25,6.5,2,2,2,1,263
6.75,10,10,1.75,6.66666666666667,10,8.5,3,2,2,1,267
4.91666666666667,9,6.5,4,7,6,5,4,2,1,1,268
1.70833333333333,1,3,2.75,6.33333333333333,2.75,2,3,2,3,1,271
3.75,10,8.16666666666667,4.5,10,9.25,9.5,5,2,2,1,273
7,10,10,5.5,7,9.75,10,2,2,4,1,276
5,7.66666666666667,8,3.75,6.66666666666667,8.75,9.5,4,2,4,1,277
6.25,9,9.66666666666667,7,7.33333333333333,10,10,3,2,2,1,280
6.375,10,10,6.33333333333333,9,9,10,5,2,2,1,284
4.75,6.33333333333333,7.33333333333333,5,6,8,6.5,4,2,3,1,285
6,9,6,4,6,4.5,5.5,4,2,2,1,289
5.875,7,8.16666666666667,5.25,7,6.75,7,2,2,3,1,291
5.25,9,7,5,7.33333333333333,6.75,7.25,2,2,3,1,292
5.625,8,7,4.75,7,9,8,3,2,3,1,293
5.75,7,9,6,5.66666666666667,10,10,3,2,1,1,294
7,10,4.5,5,10,10,10,5,2,1,1,295
5.66666666666667,8,7.5,5.5,8,7,8,3,2,2,1,300
4.75,4,7,4,7,7,7,3,2,2,1,301
5.16666666666667,7,7,5.25,8,6,6,3,2,3,1,304
6.25,7.66666666666667,7.5,5,6,10,10,4,2,4,1,317
6.75,10,10,7,10,10,10,5,2,4,1,319
3.08333333333333,4,2.5,4.5,4.33333333333333,8.75,7.25,3,2,3,1,320
7,9.33333333333333,10,7,10,10,10,4,2,2,1,321
5.70833333333333,7,8.16666666666667,4.75,7,9,8.5,3,2,2,1,324
5.79166666666667,10,9.5,5.75,8.66666666666667,10,10,2,2,3,1,325
5.83333333333333,5,7.16666666666667,5.5,6.33333333333333,8.5,8,3,2,3,1,327
4.875,10,9.5,2.25,8,10,10,5,2,3,1,328
3.5,9,8,5.5,7.33333333333333,9,9,5,2,1,1,330
6,8,7,4.25,8,8.75,9,1,2,1,1,331
2.75,1,5.83333333333333,4,5,10,10,5,2,2,1,332
4.75,7.33333333333333,7.33333333333333,3.75,6.33333333333333,8.5,5,3,2,2,1,333
7,10,10,6,10,10,10,1,2,1,1,334
6.25,10,10,7,5,10,10,4,2,3,1,336
5.875,10,8,4,7.66666666666667,10,10,2,2,3,1,341
4.625,10,5.5,4,6,5,6,4,2,3,1,343
4.125,6.66666666666667,4.5,3,4,4,5.75,2,2,1,1,345
4.79166666666667,9.33333333333333,7.33333333333333,4.25,5.66666666666667,8,7,2,2,1,1,346
4.125,6.33333333333333,3.83333333333333,4.5,6,3.25,3,3,2,3,1,347
4.125,4,5.83333333333333,4.25,4.33333333333333,9,9,3,2,2,1,348
3.79166666666667,4.33333333333333,5,4,4.33333333333333,5,5,3,2,4,1,350
5.75,6,9,5,7,9.25,8.75,3,2,1,1,351
6.25,10,9,6,6.33333333333333,10,10,2,2,3,1,355
4.95833333333333,8.33333333333333,6.83333333333333,4,7.66666666666667,10,9,2,2,4,1,359
